county1,county2,county3,city,precinct,election_date,issue,result,for_vote,against_vote,status_before,status_current,status_before_detail,status_current_detail,fiscal_year,jurid,issue.clean,prohibitory,beer.wine,mixed.beverges,all.alocohol,off.premise,on.premise,cert
Denton,NA,NA,Little Elm,NA,1-Feb-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,176,48,wet,wet,wet in part for the sale of all alcoholic beverages for off-premises consumption only,"“wet in part” for the sale of all alcoholic beverages for off-premises consumption only, “wet” throughout for the sale of beer and wine for off-premises consumption only, and “wet” throughout for the sale of mixed beverages in restaurants by food and beverage certificate holders only.",2003,Denton___Little Elm_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Little Elm,NA,1-Feb-03,legal sale of beer and wine for off-premises consumption only,passed,184,39,wet,wet,wet in part for the sale of all alcoholic beverages for off-premises consumption only,"“wet in part” for the sale of all alcoholic beverages for off-premises consumption only, “wet” throughout for the sale of beer and wine for off-premises consumption only, and “wet” throughout for the sale of mixed beverages in restaurants by food and beverage certificate holders only.",2003,Denton___Little Elm_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Northlake,NA,3-May-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,43,18,wet,wet,wet in part for the sale of mixed beverages,wet throughout for the sale of mixed beverages in restaurants by food and beverage certificate holders only,2003,Denton___Northlake_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Northlake,NA,3-May-03,legal sale of beer and wine for off-premises consumption only,passed,38,19,wet,wet,wet in part for the sale of mixed beverages,wet throughout for the sale of beer and wine for off-premises consumption only,2003,Denton___Northlake_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Hays,NA,NA,Dripping Springs,NA,14-Sep-02,legal sale of all alcoholic beverages including mixed beverages.,passed,242,126,dry,wet,NA,for the sale of all alcoholic beverages including mixed beverages.,2003,Hays___Dripping Springs_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Hays,NA,NA,NA,Precinct 5,14-Sep-02,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,584,129,wet,wet,beer and wine for off-premises consumption only,for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Hays____Precinct 5,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Kaufman,NA,NA,Kaufman,NA,14-Sep-02,legal sale of all alcoholic beverages for off- premises consumption only.,passed,504,28,wet,wet,for the sale of all alcoholic beverages for off-premises consumption only,wet  throughout for the sale of all alcoholic beverages for off-premises consumption.,2003,Kaufman___Kaufman_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Lipscomb,NA,NA,Higgins,NA,5-Nov-02,legal sale of beer and wine for off-premises consumption only.,passed,114,84,dry,wet,NA,wet  for the sale of beer and wine for off-premises consumption only.,2003,Lipscomb___Higgins_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Morris,NA,NA,Naples,NA,3-May-03,legal sale of all alcoholic beverages for off-premises consumption only.,failed,177,293,dry,dry,NA,NA,2003,Morris___Naples_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Palo Pinto,NA,NA,Graford,NA,1-Feb-03,legal sale of all alcoholic beverages for off-premises consumption only.,passed,43,12,wet,wet,wet in part all alcoholic beverages for off-premises consumption only,wet throughout for the sale of all alcoholic beverages for off-premises consumption only.,2003,Palo Pinto___Graford_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Tarrant,NA,NA,Benbrook,NA,14-Sep-02,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1691,490,wet,wet,beer for off-premises consumption only,for the sale of beer for off-premises consumption only and for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Tarrant___Benbrook_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Tarrant,NA,NA,Haslet,NA,3-May-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,232,55,dry,wet,NA,for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Tarrant___Haslet_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Tarrant,NA,NA,Haslet,NA,3-May-03,legal sale of beer and wine for off-premises consumption only,passed,209,75,dry,wet,NA,for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2003,Tarrant___Haslet_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Tarrant,NA,NA,Watauga,NA,3-May-03,legal sale of beer and wine for off-premises consumption only.,passed,1164,191,wet,wet,for the sale of beer for off-premises consumption only and for the sale of mixed beverages,wet for the sale of beer and wine for off-premises consumption only and for the sale of mixed beverages.,2003,Tarrant___Watauga_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Wise,NA,NA,Decatur,NA,3-May-03,legal sale of beer and wine for off-premises consumption only.,passed,456,362,dry,wet,NA,for the sale of beer and wine for off-premises consumption only.,2003,Wise___Decatur_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Wise,NA,NA,New Fairfield,NA,3-May-03,legal sale of all alcoholic beverages for off-premises consumption only.,passed,107,35,dry,wet,NA,for the sale of all alcoholic beverages for off-premises consumption only,2003,Wise___New Fairfield_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Collin,NA,NA,Anna,NA,13-Sep-03,legal sale of all alcoholic beverages for off premises consumption only.,failed,165,218,dry,dry,NA,NA,2004,Collin___Anna_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Hopkins,NA,NA,Cumby,NA,13-Sep-03,legal sale of all alcoholic beverages for off premises consumption only.,passed,85,79,dry,wet,NA,wet for the sale of all alcoholic beverages for off premises consumption only.,2004,Hopkins___Cumby_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Dallas,NA,NA,Duncanville,NA,13-Sep-03,legal sale of beer and wine for off premises consumption only.,passed,4617,2368,dry,wet,NA,wet for the sale of beer and wine for off premises consumption only.,2004,Dallas___Duncanville_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Marion,NA,NA,Jefferson,NA,13-Sep-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,174,65,wet,wet,all alcoholic beverages for off premises consumption only,also wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2004,Marion___Jefferson_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Harris,NA,NA,Morgan's Point,NA,4-Nov-03,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,83,5,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2004,Harris___Morgan's Point_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Bosque,NA,NA,Walnut Springs,NA,4-Nov-03,legal sale of all alcoholic beverages for off premises consumption only.,passed,115,76,wet,wet,beer and wine for off premises consumption,wet for the sale of all alcoholic beverages for off premises consumption only.,2004,Bosque___Walnut Springs_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Hood,NA,NA,Granbury,NA,7-Feb-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,326,73,wet,wet,all alcoholic beverages for off premises consumption only,wet throughout for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2004,Hood___Granbury_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Jefferson,NA,NA,Groves,NA,NA,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1484,477,wet,wet,all alcoholic beverages for off-premises consumption only,also wet for the sale of mixed beverages by food and beverage certificate holders only.,2004,Jefferson___Groves_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Mitchell,NA,NA,Loraine,NA,7-Feb-04,legal sale of beer and wine for off premises consumption only.,passed,107,40,dry,wet,NA,wet for the sale of beer and wine for off premises consumption only.,2004,Mitchell___Loraine_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Jefferson,NA,NA,Port Neches,NA,NA,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1270,584,wet,wet,all alcoholic beverages for off- premises consumption only,also wet for the sale of mixed beverages by food and beverage certificate holders only.,2004,Jefferson___Port Neches_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Hood,NA,NA,Tolar,NA,7-Feb-04,legal sale of beer and wine for off-premises consumption only.,passed,91,58,dry,wet,NA,wet of the sale of beer and wine for off premises consumption only.,2004,Hood___Tolar_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,Tarrant,NA,Trophy Club,NA,7-Feb-04,legal sale of beer and wine for off-premises consumption only.,passed,1366,108,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2004,Denton_Tarrant__Trophy Club_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,Tarrant,NA,Trophy Club,NA,7-Feb-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1362,95,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2004,Denton_Tarrant__Trophy Club_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Rockwall,NA,NA,NA,Precinct 1,7-Feb-04,legal sale of all alcoholic beverages for off premises consumption only.,failed,2205,2963,dry,dry,NA,NA,2004,Rockwall____Precinct 1,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Collin,NA,NA,Allen,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,passed,3115,1786,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2004,Collin___Allen_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Collin,NA,NA,Allen,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,3371,1485,dry,wet,NA,wet for the sale of mixed beverages in restaurants by holders of food and beverages certificates only.,2004,Collin___Allen_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Brown,NA,NA,Brownwood,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,passed,1207,1133,wet,wet,wet in part for the sales of beer and wine for off-premises consumption only,wet throughout for the sale of beer and wine for off-premises consumption only.,2004,Brown___Brownwood_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Brown,NA,NA,Brownwood,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1228,1109,wet,wet,wet in part for the sales of beer and wine for off-premises consumption only,also wet for the sale of mixed beverages in restaurants by holders of food and beverages certificates only.,2004,Brown___Brownwood_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Johnson,Tarrant,NA,Burleson,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,NA,1486,1631,dry,dry,dry in those portions of the city located in Johnson County,remains dry for the sale of beer and wine for off-premises consumption only in that part of the city,2004,Johnson_Tarrant__Burleson_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Johnson,Tarrant,NA,Burleson,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,NA,1590,1517,dry,wet,dry in those portions of the city located in Johnson County,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only in the Johnson County portions of the city,2004,Johnson_Tarrant__Burleson_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Collin,Denton,NA,Celina,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,passed,328,315,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2004,Collin_Denton__Celina_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Collin,Denton,NA,Celina,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,350,287,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2004,Collin_Denton__Celina_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Montgomery,NA,NA,Conroe,NA,15-May-04,legal sale of all alcoholic beverages including mixed beverages.,passed,1982,891,wet,wet,"wet in part before the election for the legal sale of beer and wine, the legal sale of all alcoholic beverages for off-premises consumption, and the legal sale of mixed beverages",wet throughout for the legal sale of all alcoholic beverages including mixed beverages,2004,Montgomery___Conroe_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Denton,NA,NA,Corinth,NA,15-May-04,the legal sale of mixed beverages in restaurants by food and beverage certificate holders only,passed,679,226,wet,wet,wet before the election for the sale of beer and wine for off-premises consumptions,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only,2004,Denton___Corinth_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Navarro,NA,NA,Corsicana,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,passed,2215,1748,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2004,Navarro___Corsicana_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Navarro,NA,NA,Corsicana,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,2440,1478,dry,wet,NA,wet for the sale of mixed beverages in restaurants by holders of food and beverages certificates only.,2004,Navarro___Corsicana_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Brown,NA,NA,Early,NA,15-May-04,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,failed,196,289,wet,wet,beer and wine for off-premises consumption only,beer and wine for off-premises consumption only,2004,Brown___Early_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Collin,NA,NA,Fairview,NA,15-May-04,legal sale of beer and wine for off-premises consumption only.,passed,607,464,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2004,Collin___Fairview_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
